trial,domain_path,provider,model,give_pred_descriptions,desc_class,result
1,data/domains/elevators,openai,o4-mini,True,detailed-first,
1,data/domains/elevators,openai,o4-mini,True,first,
1,data/domains/flow,openai,o4-mini,True,detailed-first,1
1,data/domains/flow,openai,o4-mini,True,first,1
1,data/domains/pathfinder,openai,o4-mini,True,detailed-first,
1,data/domains/pathfinder,openai,o4-mini,True,first,
1,data/domains/bookseller,openai,o4-mini,True,detailed-first,1
1,data/domains/bookseller,openai,o4-mini,True,first,1
1,data/domains/alchemy,openai,o4-mini,True,detailed-first,1
1,data/domains/alchemy,openai,o4-mini,True,first,1
1,data/domains/elevators,openai,gpt-4o-mini,True,detailed-first,
1,data/domains/elevators,openai,gpt-4o-mini,True,first,
1,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,1
1,data/domains/flow,openai,gpt-4o-mini,True,first,1
1,data/domains/pathfinder,openai,gpt-4o-mini,True,detailed-first,
1,data/domains/pathfinder,openai,gpt-4o-mini,True,first,
1,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,
1,data/domains/bookseller,openai,gpt-4o-mini,True,first,
1,data/domains/alchemy,openai,gpt-4o-mini,True,detailed-first,
1,data/domains/alchemy,openai,gpt-4o-mini,True,first,
1,data/domains/elevators,deepseek,deepseek-chat,True,detailed-first,
1,data/domains/elevators,deepseek,deepseek-chat,True,first,
1,data/domains/flow,deepseek,deepseek-chat,True,detailed-first,1
1,data/domains/flow,deepseek,deepseek-chat,True,first,
1,data/domains/pathfinder,deepseek,deepseek-chat,True,detailed-first,
1,data/domains/pathfinder,deepseek,deepseek-chat,True,first,
1,data/domains/bookseller,deepseek,deepseek-chat,True,detailed-first,
1,data/domains/bookseller,deepseek,deepseek-chat,True,first,
1,data/domains/alchemy,deepseek,deepseek-chat,True,detailed-first,
1,data/domains/alchemy,deepseek,deepseek-chat,True,first,
2,data/domains/elevators,openai,o4-mini,True,detailed-first,
2,data/domains/elevators,openai,o4-mini,True,first,
2,data/domains/flow,openai,o4-mini,True,detailed-first,1
2,data/domains/flow,openai,o4-mini,True,first,1
2,data/domains/pathfinder,openai,o4-mini,True,detailed-first,1
2,data/domains/pathfinder,openai,o4-mini,True,first,
2,data/domains/bookseller,openai,o4-mini,True,detailed-first,
2,data/domains/bookseller,openai,o4-mini,True,first,
2,data/domains/alchemy,openai,o4-mini,True,detailed-first,1
2,data/domains/alchemy,openai,o4-mini,True,first,
2,data/domains/elevators,openai,gpt-4o-mini,True,detailed-first,
2,data/domains/elevators,openai,gpt-4o-mini,True,first,
2,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,1
2,data/domains/flow,openai,gpt-4o-mini,True,first,1
2,data/domains/pathfinder,openai,gpt-4o-mini,True,detailed-first,
2,data/domains/pathfinder,openai,gpt-4o-mini,True,first,
2,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,
2,data/domains/bookseller,openai,gpt-4o-mini,True,first,
2,data/domains/alchemy,openai,gpt-4o-mini,True,detailed-first,
2,data/domains/alchemy,openai,gpt-4o-mini,True,first,
2,data/domains/elevators,deepseek,deepseek-chat,True,detailed-first,
2,data/domains/elevators,deepseek,deepseek-chat,True,first,
2,data/domains/flow,deepseek,deepseek-chat,True,detailed-first,1
2,data/domains/flow,deepseek,deepseek-chat,True,first,1
2,data/domains/pathfinder,deepseek,deepseek-chat,True,detailed-first,
2,data/domains/pathfinder,deepseek,deepseek-chat,True,first,
2,data/domains/bookseller,deepseek,deepseek-chat,True,detailed-first,
2,data/domains/bookseller,deepseek,deepseek-chat,True,first,
2,data/domains/alchemy,deepseek,deepseek-chat,True,detailed-first,
2,data/domains/alchemy,deepseek,deepseek-chat,True,first,
3,data/domains/elevators,openai,o4-mini,True,detailed-first,
3,data/domains/elevators,openai,o4-mini,True,first,
3,data/domains/flow,openai,o4-mini,True,detailed-first,1
3,data/domains/flow,openai,o4-mini,True,first,1
3,data/domains/pathfinder,openai,o4-mini,True,detailed-first,1
3,data/domains/pathfinder,openai,o4-mini,True,first,
3,data/domains/bookseller,openai,o4-mini,True,detailed-first,
3,data/domains/bookseller,openai,o4-mini,True,first,
3,data/domains/alchemy,openai,o4-mini,True,detailed-first,1
3,data/domains/alchemy,openai,o4-mini,True,first,
3,data/domains/elevators,openai,gpt-4o-mini,True,detailed-first,
3,data/domains/elevators,openai,gpt-4o-mini,True,first,1
3,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,1
3,data/domains/flow,openai,gpt-4o-mini,True,first,1
3,data/domains/pathfinder,openai,gpt-4o-mini,True,detailed-first,
3,data/domains/pathfinder,openai,gpt-4o-mini,True,first,
3,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,
3,data/domains/bookseller,openai,gpt-4o-mini,True,first,
3,data/domains/alchemy,openai,gpt-4o-mini,True,detailed-first,
3,data/domains/alchemy,openai,gpt-4o-mini,True,first,
3,data/domains/elevators,deepseek,deepseek-chat,True,detailed-first,
3,data/domains/elevators,deepseek,deepseek-chat,True,first,
3,data/domains/flow,deepseek,deepseek-chat,True,detailed-first,1
3,data/domains/flow,deepseek,deepseek-chat,True,first,
3,data/domains/pathfinder,deepseek,deepseek-chat,True,detailed-first,
3,data/domains/pathfinder,deepseek,deepseek-chat,True,first,
3,data/domains/bookseller,deepseek,deepseek-chat,True,detailed-first,
3,data/domains/bookseller,deepseek,deepseek-chat,True,first,
3,data/domains/alchemy,deepseek,deepseek-chat,True,detailed-first,
3,data/domains/alchemy,deepseek,deepseek-chat,True,first,
